Weapon: Dragon Slayer, Skin: White Gold, MeshPart: Cube, ColorMap: rbxassetid://16320647691, MetalnessMap: rbxassetid://16320646657, NormalMap: rbxassetid://16320649195, RoughnessMap: rbxassetid://16320648460
Weapon: Dragon Slayer, Skin: White Gold, MeshPart: Cylinder, ColorMap: rbxassetid://16320647691, MetalnessMap: rbxassetid://16320646657, NormalMap: rbxassetid://16320649195, RoughnessMap: rbxassetid://16320648460
Weapon: Dragon Slayer, Skin: White Gold, MeshPart: Cube.001, ColorMap: rbxassetid://16320647691, MetalnessMap: rbxassetid://16320646657, NormalMap: rbxassetid://16320649195, RoughnessMap: rbxassetid://16320648460
Weapon: Dragon Slayer, Skin: White Gold, MeshPart: Cube.003, ColorMap: rbxassetid://16320647691, MetalnessMap: rbxassetid://16320646657, NormalMap: rbxassetid://16320649195, RoughnessMap: rbxassetid://16320648460
Weapon: Dragon Slayer, Skin: White Wind, MeshPart: Cube, ColorMap: rbxassetid://16443919292, MetalnessMap: rbxassetid://16443918864, NormalMap: rbxassetid://16443918538, RoughnessMap: rbxassetid://16443918057
Weapon: Dragon Slayer, Skin: White Wind, MeshPart: Cylinder, ColorMap: rbxassetid://16443919292, MetalnessMap: rbxassetid://16443918864, NormalMap: rbxassetid://16443918538, RoughnessMap: rbxassetid://16443918057
Weapon: Dragon Slayer, Skin: White Wind, MeshPart: Cube.001, ColorMap: rbxassetid://16443919292, MetalnessMap: rbxassetid://16443918864, NormalMap: rbxassetid://16443918538, RoughnessMap: rbxassetid://16443918057
Weapon: Dragon Slayer, Skin: White Wind, MeshPart: Cube.003, ColorMap: rbxassetid://16443919292, MetalnessMap: rbxassetid://16443918864, NormalMap: rbxassetid://16443918538, RoughnessMap: rbxassetid://16443918057
Weapon: Dragon Slayer, Skin: White Neon Paint, MeshPart: Cube, ColorMap: rbxassetid://16484689623, MetalnessMap: rbxassetid://16484689336, NormalMap: rbxassetid://16484688980, RoughnessMap: rbxassetid://16484688456
Weapon: Dragon Slayer, Skin: White Neon Paint, MeshPart: Cube.001, ColorMap: rbxassetid://16484689623, MetalnessMap: rbxassetid://16484689336, NormalMap: rbxassetid://16484688980, RoughnessMap: rbxassetid://16484688456
Weapon: Dragon Slayer, Skin: White Neon Paint, MeshPart: Cube.003, ColorMap: rbxassetid://16484689623, MetalnessMap: rbxassetid://16484689336, NormalMap: rbxassetid://16484688980, RoughnessMap: rbxassetid://16484688456
Weapon: Dragon Slayer, Skin: Red Neon Paint, MeshPart: Cube, ColorMap: rbxassetid://16484689623, MetalnessMap: rbxassetid://16484689336, NormalMap: rbxassetid://16484688980, RoughnessMap: rbxassetid://16484688456
Weapon: Dragon Slayer, Skin: Red Neon Paint, MeshPart: Cube.001, ColorMap: rbxassetid://16484689623, MetalnessMap: rbxassetid://16484689336, NormalMap: rbxassetid://16484688980, RoughnessMap: rbxassetid://16484688456
Weapon: Dragon Slayer, Skin: Red Neon Paint, MeshPart: Cube.003, ColorMap: rbxassetid://16484689623, MetalnessMap: rbxassetid://16484689336, NormalMap: rbxassetid://16484688980, RoughnessMap: rbxassetid://16484688456
Weapon: Dragon Slayer, Skin: Bloody Red, MeshPart: Cube, ColorMap: rbxassetid://16321409345, MetalnessMap: rbxassetid://16321408568, NormalMap: rbxassetid://16321407974, RoughnessMap: rbxassetid://16321410244
Weapon: Dragon Slayer, Skin: Bloody Red, MeshPart: Cylinder, ColorMap: rbxassetid://16321409345, MetalnessMap: rbxassetid://16321408568, NormalMap: rbxassetid://16321407974, RoughnessMap: rbxassetid://16321410244
Weapon: Dragon Slayer, Skin: Bloody Red, MeshPart: Cube.001, ColorMap: rbxassetid://16321409345, MetalnessMap: rbxassetid://16321408568, NormalMap: rbxassetid://16321407974, RoughnessMap: rbxassetid://16321410244
Weapon: Dragon Slayer, Skin: Bloody Red, MeshPart: Cube.003, ColorMap: rbxassetid://16321409345, MetalnessMap: rbxassetid://16321408568, NormalMap: rbxassetid://16321407974, RoughnessMap: rbxassetid://16321410244
Weapon: Dragon Slayer, Skin: Crucible, MeshPart: Meshes/AExoticSkinSlayer (2)_Cube_dmg, ColorMap: rbxassetid://16499160158, MetalnessMap: rbxassetid://16499159365, NormalMap: rbxassetid://16499158319, RoughnessMap: rbxassetid://16499157283
Weapon: Dragon Slayer, Skin: Crucible, MeshPart: Meshes/AExoticSkinSlayer (2)_Cylinder, ColorMap: rbxassetid://16499160158, MetalnessMap: rbxassetid://16499159365, NormalMap: rbxassetid://16499158319, RoughnessMap: rbxassetid://16499157283
Weapon: Dragon Slayer, Skin: Crucible, MeshPart: Meshes/AExoticSkinSlayer (2)_HandGuardPart2_low.001, ColorMap: rbxassetid://16499160158, MetalnessMap: rbxassetid://16499159365, NormalMap: rbxassetid://16499158319, RoughnessMap: rbxassetid://16499157283
Weapon: Dragon Slayer, Skin: Crucible, MeshPart: Meshes/AExoticSkinSlayer (2)_Chain.001, ColorMap: rbxassetid://16499160158, MetalnessMap: rbxassetid://16499159365, NormalMap: rbxassetid://16499158319, RoughnessMap: rbxassetid://16499157283
Weapon: Dragon Slayer, Skin: Crucible, MeshPart: Meshes/AExoticSkinSlayer (2)_Cube.012_dmg, ColorMap: rbxassetid://16499160158, MetalnessMap: rbxassetid://16499159365, NormalMap: rbxassetid://16499158319, RoughnessMap: rbxassetid://16499157283
Weapon: Dragon Slayer, Skin: Crucible, MeshPart: Meshes/AExoticSkinSlayer (2)_Cube.013, ColorMap: rbxassetid://16499160158, MetalnessMap: rbxassetid://16499159365, NormalMap: rbxassetid://16499158319, RoughnessMap: rbxassetid://16499157283
Weapon: Graveaxe, Skin: Crimson, MeshPart: Torus.002, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cylinder.002, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cylinder.003, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
Weapon: Graveaxe, Skin: Crimson, MeshPart: Cylinder.005, ColorMap: rbxassetid://16316703164, MetalnessMap: rbxassetid://16316702583, NormalMap: rbxassetid://16316701916, RoughnessMap: rbxassetid://16316703682
